predictor,ols_coef,ols_se,ci_lo,ci_hi
const,11.18149665579612,0.6495098175937507,9.908480805707189,12.454512505885052
dc_active,0.8920252757346657,0.20972371881119622,0.48097434016091567,1.3030762113084158
per_capita_income,-5.336687385176888e-06,4.5246788566779605e-06,-1.420489498587556e-05,3.5315202155217835e-06
log_total_employment,-0.10094624515425271,0.057820077181515245,-0.2142715140133488,0.012379023704843367
avg_annual_wage,3.2761822819167163e-06,5.024037590149476e-06,-6.570750451751662e-06,1.3123115015585095e-05
poverty_rate,0.016921071060869087,0.0070165802873715976,0.003168826402987053,0.03067331571875112
unemployment_rate,-0.0013659973350102217,0.027319174825317444,-0.05491059607998573,0.05217860140996529
log_pop_density,-0.1385872110496243,0.05611882317701289,-0.2485780833313412,-0.028596338767907375
median_age,-0.003596989905194011,0.009150520143016651,-0.021531679825314953,0.01433770001492693
pct_bachelors,0.021802735737001155,0.007061514117187235,0.00796242239099302,0.03564304908300929
year_2013,0.1647003221520867,0.031806194294563106,0.10236132684945964,0.22703931745471373
year_2014,0.5467521602573722,0.06051021217154101,0.4281543237042746,0.6653499968104698
year_2015,0.4535740147107631,0.07347937699840654,0.3095570821874454,0.5975909472340808
year_2016,0.36370312443898434,0.07125065323802571,0.22405441021750178,0.503351838660467
year_2017,0.4029033568848045,0.07830110217340738,0.24943601667513507,0.556370697094474
year_2018,0.24920223432884506,0.09104939710435729,0.07074869519021929,0.42765577346747086
year_2019,0.2685460798416959,0.09449759211145337,0.08333420267749095,0.4537579570059008
year_2020,0.15665430754036386,0.07370181578570306,0.012201403005180217,0.30110721207554747
year_2021,0.2938839535527512,0.10432965385544717,0.08940158947654436,0.49836631762895806
year_2022,1.3253091657841463,0.13843786709215383,1.053975932186982,1.5966423993813106
state_39,2.3996145800563995,0.13769957242024908,2.1297283774261464,2.6695007826866526
state_51,1.0816807879150043,0.1218456907399327,0.8428676223933307,1.320493953436678
